Letter,Spoken Form
a,air
b,bat
c,cap
d,drum
e,each
f,fine
g,gust
h,harp
i,ilk
j,jane
k,crunch
l,look
m,made
n,near
o,ode
p,pit
q,quench
r,red
s,sun
t,trap
u,urge
v,ax
w,wax
x,plex
y,yank
z,zip
